employee,reader,start,end,delta,success
1,8,2022-06-19T19:12:15Z,2022-06-19T19:12:16Z,276.501ms,True
1,9,2022-06-19T19:12:16Z,2022-06-19T19:12:16Z,252.3912ms,True
1,10,2022-06-19T19:12:16Z,2022-06-19T19:12:16Z,261.6041ms,True
1,1,2022-06-19T19:12:16Z,2022-06-19T19:12:16Z,283.5603ms,True
1,9,2022-06-19T19:12:16Z,2022-06-19T19:12:17Z,277.5315ms,True
1,11,2022-06-19T19:12:17Z,2022-06-19T19:12:17Z,270.38ms,True
1,16,2022-06-19T19:12:17Z,2022-06-19T19:12:17Z,256.1594ms,True
1,12,2022-06-19T19:12:17Z,2022-06-19T19:12:18Z,307.2878ms,True
1,10,2022-06-19T19:12:18Z,2022-06-19T19:12:18Z,280.5647ms,True
1,3,2022-06-19T19:12:18Z,2022-06-19T19:12:18Z,299.133ms,True
1,4,2022-06-19T19:12:18Z,2022-06-19T19:12:18Z,301.0685ms,True
1,2,2022-06-19T19:12:18Z,2022-06-19T19:12:19Z,290.7495ms,True
1,8,2022-06-19T19:12:19Z,2022-06-19T19:12:19Z,263.1986ms,True
1,9,2022-06-19T19:12:19Z,2022-06-19T19:12:19Z,263.0185ms,True
1,10,2022-06-19T19:12:19Z,2022-06-19T19:12:20Z,265.5374ms,True
1,1,2022-06-19T19:12:20Z,2022-06-19T19:12:20Z,287.4912ms,True
1,9,2022-06-19T19:12:20Z,2022-06-19T19:12:20Z,275.9632ms,True
1,11,2022-06-19T19:12:20Z,2022-06-19T19:12:20Z,270.0465ms,True
1,16,2022-06-19T19:12:20Z,2022-06-19T19:12:21Z,254.9934ms,True
1,12,2022-06-19T19:12:21Z,2022-06-19T19:12:21Z,268.6049ms,True
1,10,2022-06-19T19:12:21Z,2022-06-19T19:12:21Z,268.2237ms,True
1,3,2022-06-19T19:12:21Z,2022-06-19T19:12:21Z,272.6816ms,True
1,4,2022-06-19T19:12:21Z,2022-06-19T19:12:22Z,266.5105ms,True
1,2,2022-06-19T19:12:22Z,2022-06-19T19:12:22Z,314.1434ms,True
1,8,2022-06-19T19:12:22Z,2022-06-19T19:12:22Z,273.7501ms,True
1,9,2022-06-19T19:12:22Z,2022-06-19T19:12:23Z,255.0003ms,True
1,10,2022-06-19T19:12:23Z,2022-06-19T19:12:23Z,257.3674ms,True
1,1,2022-06-19T19:12:23Z,2022-06-19T19:12:23Z,270.5759ms,True
1,9,2022-06-19T19:12:23Z,2022-06-19T19:12:23Z,271.9182ms,True
1,11,2022-06-19T19:12:23Z,2022-06-19T19:12:24Z,270.9836ms,True
1,16,2022-06-19T19:12:24Z,2022-06-19T19:12:24Z,261.251ms,True
1,12,2022-06-19T19:12:24Z,2022-06-19T19:12:24Z,264.7357ms,True
1,10,2022-06-19T19:12:24Z,2022-06-19T19:12:24Z,272.6717ms,True
1,3,2022-06-19T19:12:24Z,2022-06-19T19:12:25Z,279.2414ms,True
1,4,2022-06-19T19:12:25Z,2022-06-19T19:12:25Z,273.7616ms,True
1,2,2022-06-19T19:12:25Z,2022-06-19T19:12:25Z,279.0362ms,True
1,1,2022-06-19T19:11:52Z,2022-06-19T19:11:52Z,305.4965ms,True
1,3,2022-06-19T19:11:52Z,2022-06-19T19:11:53Z,305.941ms,True
1,5,2022-06-19T19:11:53Z,2022-06-19T19:11:53Z,254.6813ms,True
1,15,2022-06-19T19:11:53Z,2022-06-19T19:11:53Z,297.0734ms,True
1,13,2022-06-19T19:11:53Z,2022-06-19T19:11:53Z,279.7729ms,True
1,14,2022-06-19T19:11:53Z,2022-06-19T19:11:54Z,265.716ms,True
1,8,2022-06-19T19:11:54Z,2022-06-19T19:11:54Z,261.5454ms,True
1,16,2022-06-19T19:11:54Z,2022-06-19T19:11:54Z,276.8147ms,True
1,6,2022-06-19T19:11:54Z,2022-06-19T19:11:54Z,262.1589ms,True
1,4,2022-06-19T19:11:54Z,2022-06-19T19:11:55Z,269.4419ms,True
1,2,2022-06-19T19:11:55Z,2022-06-19T19:11:55Z,268.5271ms,True
